iter	Accuracy	MultiClass
263	0.6709129512	1.500339041
264	0.6730360934	1.499892774
265	0.6709129512	1.499546867
266	0.6709129512	1.499173192
267	0.6709129512	1.498877883
268	0.6730360934	1.498472345
269	0.6751592357	1.498071704
270	0.6730360934	1.497615448
271	0.6751592357	1.497216755
272	0.6730360934	1.496819768
273	0.6772823779	1.496401127
274	0.6772823779	1.496012416
275	0.6794055202	1.495744612
276	0.6794055202	1.49538047
277	0.6794055202	1.495099284
278	0.6794055202	1.494725341
279	0.6836518047	1.494327056
280	0.6794055202	1.493929535
281	0.6794055202	1.493509216
282	0.6751592357	1.493294749
283	0.6772823779	1.492909658
284	0.6751592357	1.492554908
285	0.6751592357	1.492205756
286	0.6772823779	1.491844992
287	0.6772823779	1.491539047
288	0.6772823779	1.491194207
289	0.6815286624	1.490817079
290	0.6815286624	1.490555433
291	0.6794055202	1.490180331
292	0.6857749469	1.48974695
293	0.6878980892	1.489518307
294	0.6900212314	1.48919344
295	0.6857749469	1.488823269
296	0.6900212314	1.488330767
297	0.6900212314	1.487955016
298	0.6900212314	1.487607405
299	0.6900212314	1.487174997
